system:index,B11,B12,B5,B6,B7,B8,Blue,Green,MSK_CLDPRB,MSK_SNWPRB,Red,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,cirrus,cirrus_scl,class,cloud_shadow,dark_pixel,date,hi_prob_cloud,low_prob_cloud,med_prob_cloud,mission,opaque,snow_ice,system:time_start,vol_init,water,.geo
000000000000000013c7,1875,1665,0.1626,0.1631,0.16390000000000002,0.1828,0.2128,0.1896,28,0,0.1716,0.16790000000000002,0.1875,0.1665,0.2128,0.1896,0.1716,0.1626,0.1631,0.16390000000000002,0.1828,0.1622,0.0326,0,0,cloud,0,0,2020-07-12,0,0,1,SEN2,0,0,2020-07-12T00:00:00Z,LAE,0,"{""type"":""Point"",""coordinates"":[-90.37413052184894,46.99764088221617]}"
000000000000000013c8,1345.5,1124.5,0.12230000000000002,0.11785,0.1148,0.1447,0.17305,0.14705,0,0,0.1261,0.1285,0.13455,0.11245,0.17305,0.14705,0.1261,0.12230000000000002,0.11785,0.1148,0.1447,0.1085,0.0722,0,0,cloud,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.36212216271201,47.00498056255014]}"
000000000000000013c9,1336.5,1442,0.1365,0.13285,0.13490000000000002,0.13240000000000002,0.1589,0.1467,0,0,0.13715,0.1096,0.13365,0.1442,0.1589,0.1467,0.13715,0.1365,0.13285,0.13490000000000002,0.13240000000000002,0.13405,0.06670000000000001,0,0,cloud,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.35719931514902,46.994782598440906]}"
000000000000000013ca,1336.5,1442,0.1365,0.13285,0.13490000000000002,0.13240000000000002,0.1589,0.1467,0,0,0.13715,0.1096,0.13365,0.1442,0.1589,0.1467,0.13715,0.1365,0.13285,0.13490000000000002,0.13240000000000002,0.13405,0.06670000000000001,0,0,cloud,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.35708783762267,46.99500109439253]}"
000000000000000013cb,157,89,0.0414,0.0477,0.0607,0.04125,0.05500000000000001,0.0664,0,0,0.04745,0.03855,0.0157,0.0089,0.05500000000000001,0.0664,0.04745,0.0414,0.0477,0.0607,0.04125,0.04175,0.00235,0,0,other,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.33669636850527,47.05407526514858]}"
00000000000000001e39,1892,2021,0.5209,0.4846,0.4678000000000001,0.4896,0.548,0.519,0,42,0.4878,0.5822,0.1892,0.2021,0.548,0.519,0.4878,0.5209,0.4846,0.4678000000000001,0.4896,0.4513,1.3509,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-92.00242478072735,46.78804083719895]}"
00000000000000001e3a,1471,1586,0.4702,0.4402,0.4297,0.4492,0.5129,0.4834,0,91,0.4536,0.5167,0.1471,0.15860000000000002,0.5129,0.4834,0.4536,0.4702,0.4402,0.4297,0.4492,0.4156,0.9954,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.8980550614704,46.74665146122086]}"
00000000000000001e3b,1752,1919,0.6046,0.5653,0.5451,0.5651,0.6514,0.6184000000000001,0,99,0.5799000000000001,0.6772,0.1752,0.1919,0.6514,0.6184000000000001,0.5799000000000001,0.6046,0.5653,0.5451,0.5651,0.525,1.3125,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.71609252478243,46.769232348955505]}"
00000000000000001e3c,1600,1735,0.3938,0.35600000000000004,0.34550000000000003,0.3639,0.4199,0.4096,0,35,0.3768,0.4382,0.16,0.17350000000000002,0.4199,0.4096,0.3768,0.3938,0.35600000000000004,0.34550000000000003,0.3639,0.3396,0.9799,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.78956513284005,46.85382149593938]}"
00000000000000001e3d,1505.5,1640.5,0.5426,0.5039,0.4818,0.4993000000000001,0.6091,0.5606,0,100,0.5161,0.6115,0.15035,0.164025,0.5951000000000001,0.5512750000000001,0.5102500000000001,0.5385500000000001,0.49940000000000007,0.477425,0.49535000000000007,0.4562000000000001,1.325975,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.62889034458124,46.92327199484679]}"
00000000000000001e3e,2256,2438.5,0.2477,0.2641,0.2732,0.2872,0.28350000000000003,0.25025000000000003,55,0,0.23065,0.28535,0.2256,0.24385,0.28350000000000003,0.25025000000000003,0.23065,0.2477,0.2641,0.2732,0.2872,0.2816,0.7546,1,0,cloud,0,0,2019-07-01,0,0,1,SEN2,0,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.56784079205852,47.04875109849076]}"
00000000000000001e3f,2411,2766,0.3032,0.2746,0.2681,0.2822,0.34550000000000003,0.31020000000000003,92,0,0.2878,0.3652,0.2411,0.2766,0.34550000000000003,0.31020000000000003,0.2878,0.3032,0.2746,0.2681,0.2822,0.264,0.8812000000000001,1,0,cloud,0,0,2019-07-01,1,0,0,SEN2,0,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.248586993036,47.09122849512589]}"
00000000000000001e40,3430,3456,0.3912,0.3593,0.35300000000000004,0.3696,0.459,0.3935,100,0,0.3683,0.4522000000000001,0.343,0.3456,0.459,0.3935,0.3683,0.3912,0.3593,0.35300000000000004,0.3696,0.3425,0.8192,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.18778269107122,47.16580696024477]}"
00000000000000001e41,6649,5416,0.9626,0.8795000000000001,0.8375,0.891,1.0124,0.961,100,0,0.9152,1.07,0.6538,0.5518000000000001,1.0312,0.9686,0.9084,0.9491,0.871,0.8393,0.9008,0.8162,1.6025,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.0280666095389,47.26935174580684]}"
00000000000000001e42,3126,3311,0.3315,0.318,0.31170000000000003,0.30970000000000003,0.34040000000000004,0.3261,100,0,0.3109,0.3635,0.3126,0.3311,0.34040000000000004,0.3261,0.3109,0.3315,0.318,0.31170000000000003,0.30970000000000003,0.3012,0.675,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.27191700974764,47.20361567807694]}"
00000000000000001e43,5148,4747,0.6545000000000001,0.6027,0.5790000000000001,0.5687,0.6535000000000001,0.6354000000000001,100,0,0.616,0.7234,0.5148,0.4747,0.6535000000000001,0.6354000000000001,0.616,0.6545000000000001,0.6027,0.5790000000000001,0.5687,0.5589000000000001,1.2881,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.02815579155997,47.17468057134113]}"
00000000000000001e44,1473,1594,0.4863,0.4445,0.4219,0.4322,0.5524,0.4992,0,79,0.4609,0.605,0.1473,0.1594,0.5524,0.4992,0.4609,0.4863,0.4445,0.4219,0.4322,0.403,1.3016,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.06035496026689,47.03613184250951]}"
00000000000000001e45,1652,1757,0.4069,0.3841,0.3748,0.3584,0.4578,0.4345,0,15,0.397,0.5481,0.1652,0.1757,0.4578,0.4345,0.397,0.4069,0.3841,0.3748,0.3584,0.3511,1.1767,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.150303946717,46.99634328380961]}"
00000000000000001e46,2105.5,2212.5,0.6544000000000001,0.6127,0.5958000000000001,0.62055,0.6904,0.6482,0,73,0.6141000000000001,0.7039,0.21055,0.22125,0.6904,0.6482,0.6141000000000001,0.6544000000000001,0.6127,0.5958000000000001,0.62055,0.5692,1.4996,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.10704620739753,46.92041817017259]}"
00000000000000001e47,1737,1912,0.4647,0.4261,0.4075,0.4078,0.509,0.4688000000000001,0,20,0.4406000000000001,0.5736,0.17370000000000002,0.1912,0.509,0.4688000000000001,0.4406000000000001,0.4647,0.4261,0.4075,0.4078,0.3933,1.2429,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.33020637871827,46.97385603719709]}"
00000000000000001e48,1630,1718.5,0.4325500000000001,0.4028000000000001,0.3895,0.3914,0.4300000000000001,0.41795,0,42,0.40585,0.461,0.163,0.17185,0.4300000000000001,0.41795,0.40585,0.4325500000000001,0.4028000000000001,0.3895,0.3914,0.37585,1.1024500000000002,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.23682388445701,46.9344866339962]}"
00000000000000001e49,1999,2282,0.7715000000000001,0.7429,0.7228,0.7551,0.7525000000000001,0.7362000000000001,0,100,0.7253000000000001,0.7462000000000001,0.1999,0.2282,0.7525000000000001,0.7362000000000001,0.7253000000000001,0.7715000000000001,0.7429,0.7228,0.7551,0.7036,1.5357,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.39269176178021,46.84861772501]}"
00000000000000001e4a,1975.5,2325,0.6854,0.63975,0.6156,0.62155,0.6929000000000001,0.6596500000000001,0,93,0.6366,0.75965,0.19755,0.2325,0.6929000000000001,0.6596500000000001,0.6366,0.6854,0.63975,0.6156,0.62155,0.59605,1.56915,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.48538755447925,46.918545347730145]}"
00000000000000001e4b,2711,2730,0.3083,0.2926,0.2818,0.2776,0.3116,0.2995,91,0,0.2863,0.34090000000000004,0.2711,0.273,0.3116,0.2995,0.2863,0.3083,0.2926,0.2818,0.2776,0.27590000000000003,0.7554000000000001,1,0,cloud,0,0,2019-07-01,1,0,0,SEN2,0,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-91.37839142470182,47.11406355162058]}"
00000000000000001e4c,2699,2345,0.332,0.3133,0.2997,0.37,0.3352,0.3321,100,0,0.313,0.2451,0.26990000000000003,0.2345,0.3352,0.3321,0.313,0.332,0.3133,0.2997,0.37,0.2906,0.7036,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.52454491858379,46.78602086442174]}"
00000000000000001e4d,2863,2674,0.3556,0.3503,0.3516,0.3563,0.3171,0.32220000000000004,100,0,0.3249,0.3014,0.2863,0.2674,0.3171,0.32220000000000004,0.3249,0.3556,0.3503,0.3516,0.3563,0.3519,0.7727,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.60694464695041,46.700856493401965]}"
00000000000000001e4e,4653,3664,0.6568,0.6406000000000001,0.6336,0.6546000000000001,0.6075,0.61240000000000006,100,0,0.6118,0.5971000000000001,0.4653000000000001,0.3664,0.6075,0.61240000000000006,0.6118,0.6568,0.6406000000000001,0.6336,0.6546000000000001,0.6302,1.2899,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.81705748858877,46.66929497614568]}"
00000000000000001e4f,2745,2604,0.4053,0.4015,0.4041,0.3955,0.3557,0.3692,100,0,0.3776,0.3643,0.2745,0.2604,0.3557,0.3692,0.3776,0.4053,0.4015,0.4041,0.3955,0.4042,0.8176,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.46068613239738,46.66269996568763]}"
00000000000000001e50,3428.5,2933.5,0.55115,0.51795,0.49950000000000006,0.5555000000000001,0.55015,0.5375000000000001,100,0,0.5286500000000001,0.5002500000000001,0.34285,0.29335,0.55015,0.5375000000000001,0.5286500000000001,0.55115,0.51795,0.49950000000000006,0.5555000000000001,0.4879500000000001,1.0035500000000002,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.32335919725442,46.714510260827616]}"
00000000000000001e51,1923,2037,0.5662,0.5387000000000001,0.5236000000000001,0.5416000000000001,0.5596,0.5475,0,68,0.5377000000000001,0.5804,0.1923,0.2037,0.5596,0.5475,0.5377000000000001,0.5662,0.5387000000000001,0.5236000000000001,0.5416000000000001,0.511,1.2297,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.13796315275529,46.69473414765559]}"
00000000000000001e52,3399,2897,0.6744,0.6416000000000001,0.6227,0.6488,0.6894,0.6658000000000001,100,0,0.6472,0.6918000000000001,0.33990000000000004,0.2897,0.6894,0.6658000000000001,0.6472,0.6744,0.6416000000000001,0.6227,0.6488,0.6052000000000001,1.2726,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.1636609521263,46.79126030815953]}"
00000000000000001e53,2032,2403,0.7477,0.6903,0.6563,0.6829000000000001,0.8388,0.7625000000000001,0,95,0.7050000000000001,0.9092,0.2032,0.2403,0.8388,0.7625000000000001,0.7050000000000001,0.7477,0.6903,0.6563,0.6829000000000001,0.6235,1.6026,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.85560195809477,47.036033742286335]}"
00000000000000001e54,2042,2141,0.5218,0.4945000000000001,0.472,0.4907,0.5957,0.5368,0,9,0.4908,0.6311,0.2042,0.2141,0.5957,0.5368,0.4908,0.5218,0.4945000000000001,0.472,0.4907,0.4484,1.5072,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.74505192477774,46.981012894387874]}"
00000000000000001e55,1284,1348,0.31420000000000003,0.2872,0.2801,0.27740000000000004,0.3568,0.32080000000000003,98,8,0.2953,0.3978,0.1284,0.1348,0.3568,0.32080000000000003,0.2953,0.31420000000000003,0.2872,0.2801,0.27740000000000004,0.267,0.9196,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.50472421440122,46.98710402642687]}"
00000000000000001e56,1656,1732.5,0.30295000000000005,0.3049,0.31570000000000004,0.32065,0.29945,0.29460000000000003,100,0,0.27845,0.30510000000000004,0.1656,0.17325000000000002,0.29945,0.29460000000000003,0.27845,0.30295000000000005,0.3049,0.31570000000000004,0.32065,0.31095,0.80905,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.72445087791081,46.893975700925665]}"
00000000000000001e57,1862,2179,0.7549,0.6958000000000001,0.6635,0.6816,0.8416,0.7725000000000001,0,100,0.7172000000000001,0.923,0.1862,0.2179,0.8416,0.7725000000000001,0.7172000000000001,0.7549,0.6958000000000001,0.6635,0.6816,0.6342,1.6026,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.51656312769812,47.09649023436895]}"
00000000000000001e58,1257,1350,0.3443,0.3057,0.2936,0.3044,0.4004,0.3537,0,25,0.3271,0.4149000000000001,0.1257,0.135,0.4004,0.3537,0.3271,0.3443,0.3057,0.2936,0.3044,0.278,0.8964000000000001,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.6875384393904,47.14071113951598]}"
00000000000000001e59,2990,3093,0.3923,0.3666,0.3522,0.32270000000000004,0.3865,0.36870000000000003,100,0,0.3655,0.4634,0.299,0.3093,0.3865,0.36870000000000003,0.3655,0.3923,0.3666,0.3522,0.32270000000000004,0.34890000000000004,0.7761,1,0,cloud,0,0,2019-07-01,1,0,0,SEN2,0,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.57980655793914,47.23677801261141]}"
00000000000000001e5a,4594,4394,0.6077,0.5526,0.5264,0.5091,0.604,0.5763,100,0,0.5751000000000001,0.6910000000000001,0.4594,0.4394,0.604,0.5763,0.5751000000000001,0.6077,0.5526,0.5264,0.5091,0.5186000000000001,1.2381,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.629186643005,47.271046204207146]}"
00000000000000001e5b,4667,4277,0.5839,0.5417000000000001,0.5249,0.5298,0.6226,0.5834,100,0,0.5523,0.6581,0.4667,0.4277,0.6226,0.5834,0.5523,0.5839,0.5417000000000001,0.5249,0.5298,0.5075000000000001,1.2123000000000002,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.75450075990999,47.267086522471686]}"
00000000000000001e5c,3592,3462,0.4166,0.3837,0.3785,0.4177,0.5129,0.445,100,0,0.3972,0.511,0.3592,0.3462,0.5129,0.445,0.3972,0.4166,0.3837,0.3785,0.4177,0.3654,0.9269,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.86367739010255,47.23329545468867]}"
00000000000000001e5d,4354,4063,0.4941,0.4545,0.4396000000000001,0.4228,0.5034000000000001,0.4642,100,0,0.4553,0.5364,0.4354,0.4063,0.5034000000000001,0.4642,0.4553,0.4941,0.4545,0.4396000000000001,0.4228,0.4193,0.9957,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.9674451307173,47.269708473891114]}"
00000000000000001e5e,2105,2117,0.4988,0.4635,0.4503,0.4643000000000001,0.5435,0.4989,100,0,0.4761,0.5588000000000001,0.2105,0.2117,0.5435,0.4989,0.4761,0.4988,0.4635,0.4503,0.4643000000000001,0.4384,1.0586,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.38185368487352,47.249633600948506]}"
00000000000000001e5f,1715,2062,0.9056,0.8470000000000001,0.8098000000000001,0.8396,1.0208000000000002,0.9294,0,100,0.8558,1.1018,0.1715,0.2062,1.0208000000000002,0.9294,0.8558,0.9056,0.8470000000000001,0.8098000000000001,0.8396,0.7614000000000001,1.618,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.18822168072869,47.212333220636424]}"
00000000000000001e60,1669,2006.5,0.8772500000000001,0.8115000000000001,0.7765500000000001,0.7886500000000001,0.9744,0.887,0,100,0.8261000000000001,1.07255,0.1669,0.20065,0.9744,0.887,0.8261000000000001,0.8772500000000001,0.8115000000000001,0.7765500000000001,0.7886500000000001,0.73775,1.6103,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.2761105624921,47.168473502674736]}"
00000000000000001e61,1826,2095,0.6267,0.5822,0.5572,0.5787,0.7070000000000001,0.6428,0,83,0.5856,0.761,0.1826,0.2095,0.7070000000000001,0.6428,0.5856,0.6267,0.5822,0.5572,0.5787,0.5281,1.618,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.17998126198191,47.06754620943103]}"
00000000000000001e62,1704,1876.5,0.50685,0.4734,0.44855,0.4638,0.57395,0.52145,0,52,0.4812,0.6205,0.1704,0.18765,0.57395,0.52145,0.4812,0.50685,0.4734,0.44855,0.4638,0.42705,1.48405,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.33241563149397,47.00671069375888]}"
00000000000000001e63,1274,1300,0.3114,0.2972,0.28390000000000004,0.2755,0.34240000000000004,0.3158,90,7,0.28500000000000003,0.3793,0.1274,0.13,0.34240000000000004,0.3158,0.28500000000000003,0.3114,0.2972,0.28390000000000004,0.2755,0.2614,0.9044,0,0,cloud,0,0,2019-07-01,1,0,0,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.20607146224563,46.920016851077776]}"
00000000000000001e64,1672,1675,0.2258,0.203,0.1971,0.20390000000000005,0.2274,0.21950000000000003,63,0,0.21175,0.22375,0.1675,0.1675,0.223225,0.21735,0.21025,0.22595000000000004,0.20635,0.20084999999999997,0.20755,0.198675,0.55565,0,0,cloud,0,0,2019-07-01,0,0,1,SEN2,1,0,2019-07-01T00:00:00Z,SKS,0,"{""type"":""Point"",""coordinates"":[-90.36520340153994,46.873918664387254]}"
00000000000000000b83,11,24,0.0019,0.0027,0.0021,4e-4,0.018,0.0126,0,0,0.0044,0.0265,0.0011,0.0024,0.018,0.0126,0.0044,0.0019,0.0027,0.0021,4e-4,4e-4,NA,0,0,openWater,0,0,2020-09-28,0,0,0,SEN2,0,0,2020-09-28T00:00:00Z,BJM,1,"{""type"":""Point"",""coordinates"":[-91.09932304437295,47.29226260701944]}"
